countrycode,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Country ID
AGO,Angola,-1.668504553,-2.043068715,-2.087138446,-2.180977523,-2.021029229,-1.97082557,-1.723993607,-1.445416939,-1.449230387,-1.412074526,-1.601674302,-1.589897052,-1.658773552,-1.722837833,-1.80302579,-1.681064042,-1.726641073,-1.499907217,-1.286406783,-1.410296645,-1.3471794,-1.433956236,afago
BDI,Burundi,-0.688654845,-0.511548854,-0.586895918,-0.663476515,0.243100213,-0.010523232,-0.194338287,-0.596237019,0.041571735,0.047659195,-0.017141134,-0.202112748,-0.292339117,-0.402430932,-0.309615919,-0.319189462,-0.110682838,-0.187965893,-0.465612264,-0.81600499,-0.862054399,-0.644410238,afbdi
BEN,Benin,-0.527657264,-0.601041365,-0.503967225,-0.42386484,-0.397507886,-0.642139763,-0.949283857,-1.180317257,-1.01589367,-0.828072542,-0.956680659,-0.775052384,-0.880279264,-0.937902821,-1.05824939,-0.956344433,-0.535507012,-0.382453054,-0.45252956,-0.470964194,-0.638806644,-0.542317422,afben
BFA,Burkina Faso,0.071188119,0.064165652,-0.003095439,-0.280083782,-0.159463227,-0.660659035,-0.772600696,-0.9871698,-0.896344184,-0.801928452,-1.131305009,-1.424245699,-1.259510312,-1.410640009,-1.380175607,-1.393820977,-1.008633534,-1.096425467,-1.28657686,-1.502130826,-1.537978534,-1.423444965,afbfa
BWA,Botswana,,,-0.436039987,-0.494900021,-0.757896833,-0.695017549,-0.720163088,-0.799268335,-0.889489218,-0.992804986,-0.66551883,-0.318764479,-0.184003725,-0.144821804,-0.284198908,-0.429017952,-0.341223402,-0.334495573,-0.515960573,-0.429557345,-0.428186817,-0.329787298,afbwa
CAF,Central African Republic,-0.649123548,-0.424721463,-0.79935275,-0.29229015,-0.163237547,-0.377098251,-0.370650935,-0.445867935,-0.440805779,-0.2795524,-0.414589431,-0.592527571,-0.174875347,-0.041864868,-0.115317662,-0.16005365,0.267472171,0.490116913,0.219395607,-0.17612149,-0.221983386,-0.249997356,afcaf
CIV,Cote d'Ivoire,-1.332226763,-1.412198699,-1.016091488,-0.732921986,-0.753386649,-0.768259336,-0.682536355,-0.667093898,-0.751912363,-0.800203359,-0.923699851,-1.07297687,-1.160998201,-1.073531551,-1.100289963,-1.038966136,-0.865504124,-0.807985261,-0.796001838,-0.876271528,-0.90385519,-0.921774918,afciv
CMR,Cameroon,-1.968208651,-1.817287963,-1.904838245,-1.674620708,-1.348732984,-1.161128684,-1.164699063,-1.556767004,-1.685407806,-1.220198754,-1.0140582,-1.005529797,-1.079684706,-0.931731201,-0.967048703,-0.83732117,-0.821604686,-0.767678184,-0.703803741,-0.852182445,-1.104475466,-1.134707495,afcmr
COD,Democratic Republic of the Congo,-1.766446084,-1.770379438,-1.649753677,-1.668920951,-1.514300769,-1.720019432,-1.552554487,-1.564417337,-1.675027518,-1.694632905,-1.299782296,-1.559965198,-1.570680721,-1.020359697,-1.209535198,-1.138732235,-1.556849168,-1.343236338,-1.768778015,-1.742328591,-1.78018876,-1.666381875,afcod
COG,Republic of the Congo,-1.47697496,-1.42071076,-1.857698743,-1.683684693,-1.95423297,-2.05159812,-2.014465429,-1.966319443,-1.898207819,-1.785414474,-1.285217639,-1.396121091,-1.3480751,-1.388560981,-1.231011099,-1.431098118,-1.288310126,-1.294816384,-1.089750874,-0.8892603,-0.932771529,-1.091640735,afcog
