Country,countrycode,ECI 2018,ECI 2017,ECI 2016,ECI 2015,ECI 2014,ECI 2013,ECI 2012,ECI 2011,ECI 2010,ECI 2009,ECI 2008,ECI 2007,ECI 2006,ECI 2005,ECI 2004,ECI 2003,ECI 2002,ECI 2001,ECI 2000,ECI 1999,ECI 1998,ECI 1997,ECI 1996,ECI 1995,COI 2018,COI 2017,COI 2016,COI 2015,COI 2014,COI 2013,COI 2012,COI 2011,COI 2010,COI 2009,COI 2008,COI 2007,COI 2006,COI 2005,COI 2004,COI 2003,COI 2002,COI 2001,COI 2000
Bangladesh,BGD,-0.8826,-0.9819,-0.952,-0.8467,-0.7637,-0.8274,-0.6118,-0.7684,-0.8535,-0.7965,-0.5933,-0.592,-0.7419,-0.8925,-1.074,-1.1881,-0.9619,-0.7942,-0.8568,-0.9135,-0.7512,-0.6387,-0.7558,-0.5791,-1.073,-1.0919,-1.0986,-0.951,-0.9635,-0.8097,-0.6889,-0.858,-0.8895,-0.8771,-0.7501,-0.6589,-0.8847,-0.79,-0.9385,-1.1251,-1.1085,-1.0522,-0.9502
Bulgaria,BGR,0.5545,0.5912,0.5588,0.497,0.6161,0.6217,0.6,0.6331,0.4811,0.4858,0.4704,0.4613,0.4912,0.3976,0.3844,0.41,0.4714,0.4596,0.4398,0.4195,0.5223,0.5223,0.5113,0.3489,1.8861,1.6935,1.7685,1.6487,1.5895,1.5561,1.5928,1.6996,1.6817,1.774,1.7976,1.7327,1.5892,1.6402,1.6249,1.7772,1.6549,1.7587,1.7554
Bahrain,BHR,0.3046,0.2025,0.2646,0.3337,0.0881,0.078,-0.0163,-0.3007,-0.0601,-0.0973,-0.4088,-0.2005,-0.3394,-0.1919,-0.5406,-0.3421,-0.3318,-0.0235,-0.2682,-0.32,-0.3292,-0.4572,-0.3601,-0.3489,-0.636,-0.6991,-0.5371,-0.1609,-0.5422,-0.6875,-0.7839,-0.9915,-0.9388,-0.7903,-0.9598,-0.9821,-1.0989,-1.0832,-1.1643,-1.1254,-1.1096,-1.0955,-0.8881
Bosnia and Herzegovina,BIH,0.6704,0.6015,0.7137,0.5587,0.7384,0.727,0.663,0.6666,0.5651,0.6197,0.6174,0.66,0.5439,0.4564,0.479,0.1975,0.2198,0.2564,0.1842,0.475,0.4026,0.5104,0.567,0.3832,0.8991,0.9357,0.8695,1.0054,0.9814,0.9243,1.1669,1.0336,1.0746,0.9454,1.0546,0.7812,0.6968,0.6678,0.6702,0.3272,0.447,0.4382,0.3386
Belarus,BLR,0.8875,0.9041,0.894,0.8166,0.9323,1.177,1.0988,0.9662,0.9641,1.0351,0.9164,1.0516,0.9536,0.9795,0.9342,0.8778,0.8675,0.7847,0.7309,0.9465,1.0029,0.7086,0.7787,0.4943,1.0433,1.0385,0.8785,0.65,0.7296,0.9429,0.8604,0.6712,0.8127,0.7668,0.6381,0.6146,0.712,0.7173,0.9691,1.0946,1.1781,1.2095,1.1557
Bolivia,BOL,-1.0425,-0.9793,-0.9531,-1.1112,-1.171,-1.1394,-0.6996,-0.9086,-0.8668,-0.9195,-0.7884,-0.919,-0.9153,-0.8783,-0.8191,-0.6356,-0.7832,-0.6374,-0.4082,-0.5103,-0.5361,-0.7821,-0.5533,-0.4011,-0.894,-0.9237,-0.959,-1.0586,-1.0478,-1.0061,-0.728,-0.9243,-0.7887,-0.8636,-0.8798,-0.8803,-0.834,-0.7579,-0.7495,-0.5655,-0.6766,-0.5094,-0.3817
Brazil,BRA,0.2137,0.1479,0.2505,0.202,0.2318,0.2786,0.3414,0.3228,0.4361,0.2799,0.3812,0.5133,0.6187,0.6416,0.5102,0.6249,0.6298,0.6579,0.7943,0.6261,0.8224,0.7962,0.8125,0.8386,0.8091,0.8422,1.0109,1.1494,0.97,0.6509,0.9032,0.9845,0.9521,1.2904,1.4131,1.6193,1.4103,1.4671,1.5599,1.3894,1.2296,1.3107,1.2906
Botswana,BWA,-0.4815,-0.3837,-1.0214,-0.5111,-0.7483,-0.6819,-0.4784,-0.3953,-0.4174,0.2083,-0.264,-0.8129,-0.9516,-0.5616,-0.4188,-0.2614,-0.1278,-0.405,-0.2543,,,,,,-1.0815,-1.0898,-1.2528,-1.1234,-1.1357,-1.0923,-1.0641,-1.0521,-0.9377,-0.4899,-1.0021,-1.2144,-1.2024,-1.1381,-1.1423,-1.1048,-1.0504,-1.1572,-1.0626
Canada,CAN,0.6462,0.6594,0.5402,0.5834,0.6158,0.5963,0.6267,0.5687,0.6319,0.6649,0.6017,0.6715,0.8085,0.8614,0.8133,0.9198,0.9612,0.8804,1.0547,0.9606,0.9041,0.9411,0.96,0.9762,1.4174,1.3662,1.3139,1.4799,1.1797,1.1952,1.2942,1.3698,1.3336,1.4967,1.23,1.3776,1.4748,1.2612,1.3761,1.439,1.3904,1.3727,1.2668
Switzerland,CHE,2.1664,2.2083,2.2758,2.203,2.031,2.0838,2.0215,2.1018,2.1384,2.008,1.9815,1.9776,2.0354,2.1297,2.2267,2.214,2.2235,2.1924,2.2766,2.2224,2.2661,2.3408,2.3514,2.2759,0.8338,0.8707,0.8436,0.8394,0.7767,0.6728,0.654,0.5442,0.532,0.5743,0.4877,0.2952,0.4786,0.6217,0.5538,0.7341,0.8322,0.7872,0.5423
Chile,CHL,-0.1824,-0.2251,-0.1356,-0.2305,-0.1997,-0.183,-0.1845,-0.1473,-0.279,-0.2035,-0.181,-0.1962,-0.1929,-0.1607,-0.233,-0.1377,-0.0695,-0.1684,-0.0178,-0.1323,-0.1375,-0.0666,-0.1614,-0.2699,-0.2865,-0.2801,-0.1966,-0.3307,-0.1627,-0.2404,-0.3274,-0.3611,-0.4228,-0.3791,-0.2245,-0.4691,-0.4648,-0.4302,-0.2948,-0.1529,-0.0943,0.0539,-0.0131
China,CHN,1.3409,1.3014,1.2522,1.264,1.3139,1.2551,1.2189,1.1789,1.0496,0.9615,0.9954,0.9094,0.8438,0.7572,0.7029,0.6489,0.6171,0.5372,0.4387,0.3887,0.341,0.3926,0.3859,0.321,0.6848,0.9549,1.1159,1.0196,0.3599,0.652,0.5707,1.0602,1.3829,1.4395,1.4087,1.5162,1.7392,1.9303,2.016,2.0008,1.9645,2.2951,2.4172
Côte d'Ivoire,CIV,-0.961,-0.9869,-1.0711,-0.7604,-0.8541,-1.0044,-1.0051,-1.0027,-1.0848,-1.104,-0.9889,-0.9575,-0.9244,-0.8143,-0.8412,-0.7772,-0.8042,-0.7282,-0.7986,-0.4943,-0.7678,-0.6423,-0.8838,-0.7536,-0.8459,-0.9395,-0.9033,-0.8219,-0.78,-0.9012,-0.8614,-0.9096,-0.9323,-0.857,-0.7651,-0.8046,-0.8543,-0.8028,-0.7444,-0.7766,-0.7521,-0.5631,-0.7037
Cameroon,CMR,-1.6012,-1.0097,-1.1182,-0.9029,-0.7398,-0.9349,-1.0137,-0.5163,-1.0901,-1.044,-0.8982,-0.818,-1.5564,-1.5509,-1.3868,-1.2645,-1.1891,-1.4622,-1.6936,-1.7095,-1.822,-1.0597,-1.1763,-1.1121,-1.1822,-1.0145,-1.0942,-0.9958,-0.9244,-1.0049,-1.0143,-0.7341,-1.0209,-1.0295,-1.0286,-0.9296,-1.2235,-1.215,-1.2169,-1.1028,-1.1084,-1.2473,-1.266
Democratic Republic of the Congo,COD,-1.8038,-1.5773,-1.6379,-1.6761,-1.6053,-1.4563,-1.5741,-1.3308,-1.3979,-1.3643,-1.2502,-1.3534,-1.3348,-1.5598,-1.4231,-0.8534,-1.199,-1.3565,-0.7976,-1.5945,-1.6032,-1.0918,-1.2884,-1.3653,-1.2156,-1.2077,-1.2117,-1.2165,-1.1252,-1.1197,-1.2209,-1.174,-1.2116,-1.178,-1.1875,-1.1352,-1.1224,-1.1731,-1.1929,-1.0364,-1.1379,-1.221,-1.0486
Republic of the Congo,COG,-1.4196,-1.1804,-0.7787,-1.1793,-1.3627,-1.5117,-1.1551,-0.957,-1.5293,-1.4079,-1.526,-1.714,-1.8856,-1.6011,-1.412,-1.4305,-1.4533,-1.4953,-1.6985,-1.6726,-1.5866,-1.4901,-1.2542,-1.1645,-1.1276,-1.1262,-0.9974,-1.1396,-1.1013,-1.1024,-1.0681,-1.0794,-1.2063,-1.198,-1.2009,-1.2642,-1.2725,-1.2639,-1.2389,-1.2462,-1.2493,-1.2728,-1.2724
Colombia,COL,0.1,-0.0429,-0.0434,0.0369,0.0827,0.0384,0.0423,0.0517,0.0064,0.3517,0.2521,0.1887,0.1673,0.0915,0.0409,0.1264,0.2195,0.3432,0.1168,0.0598,0.0472,0.0121,0.069,0.0526,-0.1223,-0.2672,-0.2011,-0.1467,-0.3912,-0.3682,-0.3389,-0.2794,-0.1537,0.392,0.542,0.6833,0.5548,0.4444,0.5165,0.4013,0.4531,0.5098,0.1782
Costa Rica,CRI,0.3342,0.2832,0.2796,0.2885,0.1413,0.1822,0.2527,0.2177,0.0622,0.0603,0.1205,0.0987,0.0748,0.0729,-0.0287,-0.0287,0.0687,0.0909,-0.1409,-0.2256,-0.2296,-0.1905,-0.2351,-0.2786,0.4006,0.2232,0.1441,0.0695,-0.5715,-0.542,-0.5625,-0.4402,-0.6331,-0.4393,-0.1374,-0.1921,-0.2387,-0.2488,-0.3011,-0.3517,-0.098,0.1565,-0.1853
Cuba,CUB,-1.1058,-0.9537,-0.751,-0.7412,-0.5368,-0.3035,0.0809,-0.4146,-0.513,-0.1015,-0.3807,-0.4397,0.2078,-0.1832,-0.1724,-0.6482,-0.9228,-0.9272,-0.8382,-0.3929,-0.5463,-0.7704,-0.7696,-0.4334,-1.2249,-1.2516,-1.1901,-1.1447,-0.9414,-0.8553,-0.6936,-1.0019,-1.0512,-0.8649,-1.0095,-0.9199,-0.4717,-0.65,-0.6556,-0.9726,-1.0795,-1.1519,-1.1406
Cyprus,CYP,0.1827,0.3745,0.345,0.1105,0.4737,0.3494,0.6196,0.7792,0.7452,0.9159,0.9444,0.7466,0.7304,0.4393,0.4266,0.1407,0.3326,0.3009,0.2603,0.4811,0.3917,0.4208,0.0957,0.3849,-0.2311,0.154,-0.0052,-0.3782,0.5707,0.5482,0.1894,0.5012,0.5208,0.6729,0.7675,0.6233,0.0287,0.6206,0.8061,0.3052,0.5043,0.249,0.2868
Czechia,CZE,1.8032,1.8665,1.832,1.8158,1.7603,1.8261,1.7323,1.763,1.784,1.6754,1.6387,1.6597,1.6507,1.6305,1.6176,1.6755,1.5854,1.5717,1.5149,1.4739,1.5095,1.4384,1.4121,1.4096,-0.0561,0.1389,0.2455,0.0914,-0.147,-0.4068,-0.6396,-0.3039,-0.0994,-0.129,-0.2451,-0.2847,0.0891,0.4856,0.5624,0.6007,0.9636,0.8786,0.9879
Germany,DEU,2.0865,2.1607,2.2578,2.254,2.1074,2.1047,1.9739,2.0491,2.0949,2.032,2.0239,2.0487,2.141,2.2886,2.4259,2.4288,2.3689,2.3432,2.3806,2.3669,2.3992,2.3457,2.3502,2.4217,-2.5429,-2.3208,-2.4191,-2.5735,-3.2364,-3.6864,-3.6872,-3.445,-3.321,-3.4986,-3.2261,-3.1305,-2.8841,-2.656,-2.3951,-2.134,-2.1599,-2.0741,-2.4217
Denmark,DNK,1.094,1.1604,1.0685,1.1044,1.1519,1.1879,1.1596,1.1837,1.1812,1.334,1.2733,1.2363,1.2533,1.3112,1.3123,1.3496,1.3378,1.3496,1.3322,1.4151,1.3394,1.5025,1.428,1.4865,1.3442,1.2469,1.3856,1.2555,1.1645,1.0715,1.0509,1.1697,1.1716,0.8627,0.8881,0.9835,1.1413,1.189,1.2437,1.2737,1.325,1.3287,1.424
Dominican Republic,DOM,-0.1798,-0.3156,-0.2516,-0.2387,-0.0776,-0.2515,-0.103,-0.2304,-0.1946,-0.1968,-0.043,0.0406,0.0197,-0.1878,-0.2518,-0.3922,-0.4337,-0.5544,-0.5609,-0.4913,-0.6451,-0.5221,-0.3651,-0.4845,-0.2697,0.0744,0.0535,0.4073,0.4759,0.4013,0.3904,0.4279,0.4762,0.4194,0.2989,0.1787,0.1456,-0.0506,-0.3062,-0.246,-0.39,-0.4777,-0.6125
Algeria,DZA,-1.3072,-0.8612,-1.1902,-1.2822,-1.4274,-1.5256,-1.7405,-1.8721,-1.0764,-1.4756,-1.3281,-1.6796,-1.0785,-0.8213,-1.1848,-0.994,-0.9264,-0.9414,-1.0067,-0.9119,-0.9104,-0.8342,-0.4793,-0.7509,-1.1891,-1.1709,-1.2251,-1.1959,-1.121,-1.1079,-1.1525,-1.1698,-1.1501,-1.1631,-1.122,-1.1752,-1.1527,-1.1931,-1.2179,-1.2007,-1.1942,-1.2444,-1.1972
Ecuador,ECU,-0.974,-1.0987,-0.9993,-0.9989,-1.0515,-0.8264,-0.6563,-0.6547,-0.7479,-0.8416,-0.738,-0.7536,-0.954,-1.0196,-0.9882,-0.8831,-0.982,-0.8925,-1.0172,-0.8478,-0.8936,-1.1154,-1.125,-1.0176,-1.0314,-1.1518,-1.0024,-1.0388,-1.1085,-0.9361,-0.7947,-0.8104,-0.8396,-0.9315,-0.9235,-0.8428,-0.9361,-1.0031,-0.933,-0.7752,-0.8902,-0.8691,-0.8463
Egypt,EGY,-0.0611,-0.0677,-0.1594,-0.1394,-0.0356,-0.1115,-0.1394,-0.1766,-0.2101,-0.2179,-0.1419,-0.2334,-0.3055,-0.3376,-0.3632,-0.3409,-0.381,-0.3474,-0.382,-0.2532,-0.3626,-0.3549,-0.409,-0.3142,1.7173,2.0313,1.8918,1.9288,2.0248,1.7653,1.4649,1.2652,1.1994,1.5123,0.9583,0.6279,0.2994,0.4898,0.483,0.6514,0.6106,0.4213,0.025
Spain,ESP,0.8289,0.8005,0.8096,0.8686,0.9565,0.9546,0.9266,0.9625,0.9953,1.018,0.9642,1,0.9928,1.0543,1.0366,1.0301,1.052,1.127,1.1583,1.0884,1.0455,1.0625,1.1623,1.2115,2.4374,2.401,2.1572,2.0527,1.7875,1.815,1.8619,1.8158,1.614,1.3565,1.6077,1.5102,1.7907,1.6341,1.7835,1.8973,1.954,1.8096,1.7888
Estonia,EST,0.9636,1.0273,0.9516,0.9864,1.0227,0.9243,0.8593,1.0073,0.8088,0.8115,0.7581,0.802,0.7356,0.7376,0.6477,0.6383,0.5725,0.4985,0.3566,0.5233,0.5232,0.4609,0.431,0.5251,1.2903,1.3261,1.1914,1.1379,1.1748,1.2921,1.3173,1.1862,1.3527,1.3339,1.6683,1.3276,1.1857,1.1877,1.0434,1.1202,1.167,0.921,0.6486
Ethiopia,ETH,-0.6577,-0.8482,-1.0904,-0.8208,-1.1476,-1.1448,-0.9013,-1.0306,-0.9203,-0.8887,-0.795,-1.0003,-1.1226,-1.1586,-1.2012,-1.4022,-1.3006,-1.0228,-1.1365,-1.1212,-1.2207,-1.1247,-1.0629,-0.9898,-0.395,-0.5563,-0.8494,-0.5422,-0.9855,-0.9009,-0.8825,-0.8519,-0.8187,-0.7147,-0.7386,-0.801,-0.9535,-0.9313,-0.889,-1.0599,-1.0293,-0.8873,-1.0272
Finland,FIN,1.5458,1.6921,1.595,1.5464,1.5953,1.6926,1.5753,1.7151,1.7005,1.8147,1.7207,1.8411,1.86,1.9632,1.9545,2.0439,1.9572,1.9585,1.9725,1.9653,1.963,1.9775,2.0128,2.1119,1.023,0.9497,1.0284,1.0309,0.9691,0.8765,0.8798,0.9061,0.9496,0.8395,0.8343,0.7391,0.8779,0.8687,1.0062,0.9935,1.0379,0.9898,0.89
France,FRA,1.3726,1.3852,1.4679,1.4357,1.4408,1.5239,1.4133,1.4586,1.5098,1.5254,1.4836,1.4078,1.4961,1.5275,1.5783,1.6668,1.6433,1.623,1.6396,1.6443,1.6537,1.6642,1.5635,1.85,0.8372,0.9639,0.8544,0.7306,0.4101,0.0435,0.0529,0.1281,-0.0035,-0.2939,-0.4522,-0.0422,0.1766,0.5923,0.5977,0.6566,0.7156,0.6388,0.6413
Gabon,GAB,-1.428,-1.2989,-1.3185,-1.3735,-1.3592,-1.6619,-1.6247,-1.1517,-1.2377,-0.9211,-1.4099,-1.2475,-1.2081,-1.502,-1.0206,-1.5664,-1.3299,-1.6059,-0.782,-0.8922,-1.5634,-1.2911,-2.0528,-1.7734,-1.1402,-1.2156,-1.2273,-1.2174,-1.0996,-1.1448,-1.1621,-1.1106,-1.1366,-1.092,-1.1266,-1.1522,-1.1416,-1.2463,-1.2117,-1.2755,-1.2369,-1.3064,-1.1726
United Kingdom,GBR,1.5073,1.4998,1.5686,1.609,1.5305,1.6265,1.5417,1.5904,1.6059,1.6156,1.7098,1.649,1.8501,1.8419,1.8807,1.9712,2.0865,2.1007,2.1327,2.0036,1.9953,1.985,1.9369,1.8763,0.9781,1.1428,1.0166,0.9192,0.9359,0.7811,0.7823,0.7964,0.8331,0.6171,0.255,0.5481,0.6845,0.7161,0.7055,0.8297,0.8003,0.6653,0.5568
Georgia,GEO,-0.039,-0.2775,-0.2324,-0.1781,-0.2363,-0.0772,-0.2452,0.0132,-0.3647,-0.1652,-0.4194,-0.2301,-0.1473,-0.0533,-0.022,0.168,0.2333,0.061,0.2968,0.3102,0.4791,0.3489,0.2844,0.7863,-0.003,-0.1589,-0.2621,-0.3467,-0.5104,-0.3597,-0.5567,-0.3709,-0.5712,-0.3956,-0.6713,-0.5321,-0.4361,-0.4704,-0.5533,-0.3678,-0.1964,-0.2926,0.2135
Ghana,GHA,-0.7978,-0.916,-0.9011,-1.2189,-1.116,-0.7114,-1.0496,-0.5275,-0.7899,-0.812,-0.8314,-0.6796,-0.9119,-0.9738,-1.0275,-1.0431,-1.2508,-0.8777,-1.0938,-1.0165,-1.0838,-1.0572,-1.0323,-1.3684,-0.8472,-0.8959,-0.8762,-1.1314,-1.0709,-0.5824,-0.7294,-0.4059,-0.6026,-0.6508,-0.6104,-0.2945,-0.7355,-0.8418,-0.9127,-0.6748,-1.0441,-0.712,-0.8188
Guinea,GIN,-1.4316,-1.5591,-1.7282,-1.2567,-1.7522,-1.2767,-1.9023,-1.7793,-1.7151,-1.6212,-1.3315,-1.6934,-1.5246,-1.4776,-1.0043,-1.4587,-1.6733,-1.3191,-1.6115,-1.9598,-1.7197,-1.203,-1.2692,-1.1194,-1.2102,-1.2715,-1.2717,-1.0622,-1.2232,-1.0288,-1.2616,-1.2666,-1.2246,-1.2374,-1.1435,-1.222,-1.1943,-1.2417,-1.1057,-1.1972,-1.2561,-1.1938,-1.2612
Greece,GRC,0.1075,0.1097,0.1003,0.0595,0.0614,0.0893,0.1563,0.1377,0.1756,0.2309,0.2948,0.2889,0.1868,0.231,0.2998,0.2722,0.2235,0.3461,0.2729,0.1055,0.1231,0.1987,0.2174,0.1562,1,1.0864,1.1273,0.99,0.9537,0.9707,1.2938,1.5778,1.6691,1.75,1.8136,1.753,1.5927,1.8954,1.7535,1.4753,1.4251,1.5141,1.6554
Guatemala,GTM,-0.4546,-0.4191,-0.3924,-0.289,-0.2483,-0.2108,-0.1519,-0.2087,-0.3391,-0.2804,-0.144,-0.1588,-0.183,-0.3999,-0.3849,-0.4711,-0.4647,-0.413,-0.3986,-0.3204,-0.3251,-0.2129,-0.2888,-0.1473,0.2122,0.6271,0.6371,0.5481,0.5382,0.6609,0.5728,0.5939,0.5407,0.4391,0.6424,0.7017,0.6715,0.6189,0.1557,0.1822,0.0264,0.1901,0.1645
Honduras,HND,-0.6654,-0.4211,-0.4834,-0.4444,-0.3586,-0.666,-0.3596,-0.4627,-0.5428,-0.5596,-0.6262,-0.5404,-0.5223,-0.7443,-0.668,-0.6848,-0.6485,-0.7194,-0.7408,-0.651,-0.6911,-0.7883,-0.5924,-0.6964,-0.5073,-0.2056,-0.3008,-0.1857,0.0567,-0.3876,-0.0146,-0.3197,-0.2697,-0.4425,-0.397,-0.3775,-0.3999,-0.5526,-0.4573,-0.5257,-0.5628,-0.5631,-0.5898
Croatia,HRV,0.8702,0.9032,0.8633,0.7717,0.8608,0.8708,0.8822,0.9436,0.8652,0.9077,0.9056,0.8434,0.8684,0.7804,0.7406,0.6155,0.6055,0.6111,0.6304,0.66,0.6275,0.6205,0.7365,0.7793,1.5308,1.4575,1.3953,1.3334,1.3489,1.2845,1.1502,1.1001,1.1872,1.1138,1.1943,1.2463,1.2253,1.182,1.2039,1.4457,1.2701,1.1842,1.1182
Hungary,HUN,1.6623,1.6995,1.7213,1.6653,1.7018,1.694,1.6072,1.6209,1.6642,1.59,1.4855,1.4833,1.4773,1.4479,1.3605,1.3064,1.2444,1.0596,1.0606,0.7885,0.7779,0.9105,0.9054,0.9183,0.6909,0.7392,0.743,0.6758,0.5643,0.455,0.4482,0.7133,0.6997,0.7347,0.799,0.7418,0.8563,0.8602,0.9901,1.0888,1.0607,1.2289,1.2851
Indonesia,IDN,0.0157,-0.0666,-0.0251,-0.0058,0.0664,-0.0077,0.0542,0.0458,-0.0729,-0.0727,0.0499,0.0748,0.0088,-0.0735,0.0043,0.0193,0.0918,0.0481,0.0479,-0.0373,-0.2507,-0.205,-0.2564,-0.3477,1.4537,1.43,1.8123,1.6837,1.6736,1.7945,1.6293,1.3083,1.3866,1.5009,1.5401,1.8571,1.7083,1.6143,1.7667,1.8147,1.7284,1.7484,1.5894
India,IND,0.5385,0.2894,0.2312,0.2424,0.2329,0.182,0.2545,0.1963,0.1647,0.1933,0.3265,0.2773,0.1869,0.2293,0.2204,0.2858,0.3215,0.3677,0.2856,0.2654,0.2266,0.1403,0.1446,0.0195,2.5097,2.815,2.8153,2.8913,2.6611,2.6723,2.459,2.5306,2.4691,2.4743,2.9649,2.8037,2.5402,2.6368,2.8605,2.7162,2.3669,2.539,2.3387
Ireland,IRL,1.3597,1.4285,1.282,1.2517,1.372,1.3334,1.1734,1.3231,1.3175,1.485,1.6191,1.2633,1.4943,1.5128,1.4889,1.6064,1.7765,1.7658,1.6231,1.6553,1.5684,1.5935,1.4826,1.3316,0.0938,0.1662,0.0495,0.2353,0.4098,0.3946,0.2803,0.4132,0.3195,0.1915,0.3123,0.1948,0.1633,0.1648,0.1833,0.2831,0.2031,0.2264,0.3177
